TransactionID,TerminalID,SiteID,TypeID,Type,CardDetails,Form,Network,Type,Value,Type,Code,Country,TXNStatus, , ,SiteID,TXNDate,TXNTime
1667,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:58:55
1668,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:58:57
1669,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:58:59
1670,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:01
1671,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:03
1672,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:06
1673,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:08
1674,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:10
1675,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:12
1676,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:14
1677,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:16
1678,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:18
1679,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:21
1680,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:23
1681,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:25
1682,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:27
1683,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:29
1684,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:31
1685,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:33
1686,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:35
1687,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:38
1688,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:40
1689,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:42
1690,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:44
1691,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:46
1692,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:48
1693,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:50
1694,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:53
1695,23456789,298340,,Voucher,5050553800393,Swiped,3 Top-up Voucher,EV,10.00,Voucher,826,GBR,Settled, , ,298340,29/06/2022,5:59:55
